Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0056751,2022-03-29,2022-03-29,,"Doctor Who","Doctor Who",https://www.imdb.com/title/tt0056751/,TV Series,8.4,25,1963,"Adventure, Drama, Family, Sci-Fi",41565,1963-11-23,,,
2,tt0261655,2022-03-29,2022-03-29,,"Doctor Who: Dimensions in Time","Doctor Who: Dimensions in Time",https://www.imdb.com/title/tt0261655/,TV Mini Series,4.8,13,1993,"Short, Comedy, Sci-Fi",619,1993-11-26,,,
3,tt0116118,2022-03-29,2022-03-29,,"Doctor Who: The Movie","Doctor Who",https://www.imdb.com/title/tt0116118/,TV Movie,6.3,89,1996,"Adventure, Drama, Sci-Fi",11430,1996-05-14,"Geoffrey Sax",,
4,tt3332546,2022-03-29,2022-03-29,,"Doctor Who: The Night of the Doctor","Doctor Who: The Night of the Doctor",https://www.imdb.com/title/tt3332546/,Video,9.0,7,2013,"Short, Sci-Fi",4232,2013-11-14,"John Hayes",,
5,tt3395306,2022-03-29,2022-03-29,,"Doctor Who: The Last Day","Doctor Who: The Last Day",https://www.imdb.com/title/tt3395306/,Short,6.5,4,2013,"Short, Adventure, Drama, Family, Sci-Fi",153,2013-11-21,"Jamie Magnus Stone",,
6,tt2779318,2022-03-29,2022-03-29,,"Doctor Who: The Day of the Doctor","Doctor Who: The Day of the Doctor",https://www.imdb.com/title/tt2779318/,TV Episode,9.3,77,2013,"Adventure, Drama, Sci-Fi",21204,2013-11-23,"Nick Hurran",,
7,tt0436992,2022-03-29,2022-03-29,,"Doctor Who","Doctor Who",https://www.imdb.com/title/tt0436992/,TV Series,8.5,45,2005,"Adventure, Drama, Sci-Fi",264045,2006-03-17,,5,2025-03-11
8,tt0562992,2022-03-29,2022-03-29,,"Doctor Who: Rose","Doctor Who: Rose",https://www.imdb.com/title/tt0562992/,TV Episode,7.5,45,2005,"Adventure, Drama, Sci-Fi",12248,2006-03-17,"Keith Boak",,
9,tt0562997,2022-03-29,2022-03-29,,"Doctor Who: The End of the World","Doctor Who: The End of the World",https://www.imdb.com/title/tt0562997/,TV Episode,7.5,45,2005,"Adventure, Drama, Sci-Fi",10794,2006-03-17,"Euros Lyn",,
10,tt0563001,2022-03-29,2022-03-29,,"Doctor Who: The Unquiet Dead","Doctor Who: The Unquiet Dead",https://www.imdb.com/title/tt0563001/,TV Episode,7.4,45,2005,"Adventure, Drama, Sci-Fi",10081,2006-03-24,"Euros Lyn",,
11,tt0562985,2022-03-29,2022-03-29,,"Doctor Who: Aliens of London","Doctor Who: Aliens of London",https://www.imdb.com/title/tt0562985/,TV Episode,6.9,45,2005,"Adventure, Drama, Sci-Fi",9782,2006-03-31,"Keith Boak",,
12,tt0563003,2022-03-29,2022-03-29,,"Doctor Who: World War Three","Doctor Who: World War Three",https://www.imdb.com/title/tt0563003/,TV Episode,6.9,45,2005,"Adventure, Drama, Sci-Fi",9484,2006-04-07,"Keith Boak",,
13,tt0562988,2022-03-29,2022-03-29,,"Doctor Who: Dalek","Doctor Who: Dalek",https://www.imdb.com/title/tt0562988/,TV Episode,8.6,45,2005,"Adventure, Drama, Sci-Fi",10737,2006-04-14,"Joe Ahearne",,
14,tt0562999,2022-03-29,2022-03-29,,"Doctor Who: The Long Game","Doctor Who: The Long Game",https://www.imdb.com/title/tt0562999/,TV Episode,7.0,45,2005,"Adventure, Drama, Sci-Fi",9329,2006-04-21,"Brian Grant",,
15,tt0562989,2022-03-29,2022-03-29,,"Doctor Who: Father's Day","Doctor Who: Father's Day",https://www.imdb.com/title/tt0562989/,TV Episode,8.3,45,2005,"Adventure, Drama, Sci-Fi",10184,2006-04-28,"Joe Ahearne",,
