Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0562828,2020-08-02,2020-08-02,,"Doctor Who: An Unearthly Child","Doctor Who: An Unearthly Child",https://www.imdb.com/title/tt0562828/,TV Episode,8.1,23,1963,"Adventure, Drama, Family, Sci-Fi",2485,1963-11-23,"Waris Hussein, Douglas Camfield",,
2,tt0782279,2020-08-02,2020-08-02,,"Doctor Who: The Cave of Skulls","Doctor Who: The Cave of Skulls",https://www.imdb.com/title/tt0782279/,TV Episode,6.4,25,1963,"Adventure, Drama, Family, Sci-Fi",1760,1963-11-30,"Waris Hussein, Douglas Camfield",,
3,tt0805109,2020-08-02,2020-08-02,,"Doctor Who: The Forest of Fear","Doctor Who: The Forest of Fear",https://www.imdb.com/title/tt0805109/,TV Episode,6.3,24,1963,"Adventure, Drama, Family, Sci-Fi",1619,1963-12-07,"Waris Hussein, Douglas Camfield",,
4,tt0813250,2020-08-02,2020-08-02,,"Doctor Who: The Firemaker","Doctor Who: The Firemaker",https://www.imdb.com/title/tt0813250/,TV Episode,6.5,24,1963,"Adventure, Drama, Family, Sci-Fi",1585,1963-12-14,"Waris Hussein, Douglas Camfield",,
5,tt0562905,2020-08-02,2020-08-02,,"Doctor Who: The Dead Planet","Doctor Who: The Dead Planet",https://www.imdb.com/title/tt0562905/,TV Episode,7.6,24,1963,"Adventure, Drama, Family, Sci-Fi",1733,1963-12-21,"Christopher Barry",,
6,tt0819441,2020-08-02,2020-08-02,,"Doctor Who: The Survivors","Doctor Who: The Survivors",https://www.imdb.com/title/tt0819441/,TV Episode,7.6,24,1963,"Adventure, Drama, Family, Sci-Fi",1524,1963-12-28,"Christopher Barry",,
7,tt0777345,2020-08-02,2020-08-02,,"Doctor Who: The Escape","Doctor Who: The Escape",https://www.imdb.com/title/tt0777345/,TV Episode,7.6,25,1964,"Adventure, Drama, Family, Sci-Fi",1470,1964-01-04,"Richard Martin",,
8,tt0819440,2020-08-02,2020-08-02,,"Doctor Who: The Ambush","Doctor Who: The Ambush",https://www.imdb.com/title/tt0819440/,TV Episode,7.5,24,1964,"Adventure, Drama, Family, Sci-Fi",1426,1964-01-11,"Christopher Barry",,
9,tt0769064,2020-08-02,2020-08-02,,"Doctor Who: The Expedition","Doctor Who: The Expedition",https://www.imdb.com/title/tt0769064/,TV Episode,7.2,24,1964,"Adventure, Drama, Family, Sci-Fi",1383,1964-01-18,"Christopher Barry",,
10,tt0769065,2020-08-02,2020-08-02,,"Doctor Who: The Ordeal","Doctor Who: The Ordeal",https://www.imdb.com/title/tt0769065/,TV Episode,7.0,26,1964,"Adventure, Drama, Family, Sci-Fi",1351,1964-01-25,"Richard Martin",,
11,tt0777344,2020-08-02,2020-08-02,,"Doctor Who: The Rescue","Doctor Who: The Rescue",https://www.imdb.com/title/tt0777344/,TV Episode,7.5,22,1964,"Adventure, Drama, Family, Sci-Fi",1354,1964-02-01,"Richard Martin",,
12,tt0756850,2020-08-02,2020-08-02,,"Doctor Who: The Edge of Destruction","Doctor Who: The Edge of Destruction",https://www.imdb.com/title/tt0756850/,TV Episode,6.8,25,1964,"Adventure, Drama, Family, Sci-Fi",1354,1964-02-08,"Richard Martin",,
13,tt0769062,2020-08-02,2020-08-02,,"Doctor Who: The Brink of Disaster","Doctor Who: The Brink of Disaster",https://www.imdb.com/title/tt0769062/,TV Episode,6.9,22,1964,"Adventure, Drama, Family, Sci-Fi",1231,1964-02-15,"Frank Cox",,
14,tt0562858,2020-08-02,2020-08-02,,"Doctor Who: The Roof of the World","Doctor Who: The Roof of the World",https://www.imdb.com/title/tt0562858/,TV Episode,7.2,24,1964,"Adventure, Drama, Family, Sci-Fi",666,1964-02-22,"Waris Hussein",,
15,tt0769067,2020-08-02,2020-08-02,,"Doctor Who: The Singing Sands","Doctor Who: The Singing Sands",https://www.imdb.com/title/tt0769067/,TV Episode,7.0,27,1964,"Adventure, Drama, Family, Sci-Fi",609,1964-02-29,"Waris Hussein",,
16,tt0809982,2020-08-02,2020-08-02,,"Doctor Who: Five Hundred Eyes","Doctor Who: Five Hundred Eyes",https://www.imdb.com/title/tt0809982/,TV Episode,6.8,23,1964,"Adventure, Drama, Family, Sci-Fi",600,1964-03-07,"Waris Hussein",,
17,tt0769068,2020-08-02,2020-08-02,,"Doctor Who: The Wall of Lies","Doctor Who: The Wall of Lies",https://www.imdb.com/title/tt0769068/,TV Episode,6.9,25,1964,"Adventure, Drama, Family, Sci-Fi",587,1964-03-14,"John Crockett",,
18,tt0805214,2020-08-02,2020-08-02,,"Doctor Who: Rider from Shang-Tu","Doctor Who: Rider from Shang-Tu",https://www.imdb.com/title/tt0805214/,TV Episode,6.8,23,1964,"Adventure, Drama, Family, Sci-Fi",581,1964-03-21,"Waris Hussein",,
19,tt0769059,2020-08-02,2020-08-02,,"Doctor Who: Mighty Kublai Khan","Doctor Who: Mighty Kublai Khan",https://www.imdb.com/title/tt0769059/,TV Episode,6.9,25,1964,"Adventure, Drama, Family, Sci-Fi",576,1964-03-28,"Waris Hussein",,
20,tt0809981,2020-08-02,2020-08-02,,"Doctor Who: Assassin at Peking","Doctor Who: Assassin at Peking",https://www.imdb.com/title/tt0809981/,TV Episode,7.1,25,1964,"Adventure, Drama, Family, Sci-Fi",584,1964-04-04,"Waris Hussein",,
21,tt0562926,2020-08-02,2020-08-02,,"Doctor Who: The Sea of Death","Doctor Who: The Sea of Death",https://www.imdb.com/title/tt0562926/,TV Episode,7.1,23,1964,"Adventure, Drama, Family, Sci-Fi",999,1964-04-11,"John Gorrie",,
22,tt0809986,2020-08-02,2020-08-02,,"Doctor Who: The Velvet Web","Doctor Who: The Velvet Web",https://www.imdb.com/title/tt0809986/,TV Episode,7.2,25,1964,"Adventure, Drama, Family, Sci-Fi",954,1964-04-18,"John Gorrie",,
